title,type,director,country,date_added,release_year,rating,duration,listed_in
A Separation,Movie,Asghar Farhadi,"Iran, France",16-Mar-19,2011,PG-13,123 min,"Dramas, International Movies"
A Series of Unfortunate Events,TV Show,,United States,1-Jan-19,2019,TV-PG,3 Seasons,"Kids' TV, TV Action & Adventure, TV Comedies"
A Serious Man,Movie,"Ethan Coen, Joel Coen","United States, United Kingdom, France",16-Jan-18,2009,R,106 min,"Comedies, Independent Movies"
A Shaun the Sheep Movie: Farmageddon,Movie,"Richard Phelan, Will Becher","United Kingdom, France, Belgium, United States, China",14-Feb-20,2020,G,87 min,"Children & Family Movies, Comedies"
A Silent Voice,Movie,Naoko Yamada,Japan,5-Jun-19,2016,TV-14,130 min,"Anime Features, International Movies"
A Single Man,Movie,Tom Ford,United States,11-Nov-19,2009,R,100 min,"Dramas, Independent Movies, LGBTQ Movies"
A Sort of Family,Movie,Diego Lerman,"Argentina, Brazil, France, Poland, Germany, Denmark",1-Apr-18,2017,TV-14,96 min,"Dramas, International Movies, Thrillers"
A Sort of Homecoming,Movie,Maria Burton,United States,1-Aug-17,2015,TV-PG,89 min,"Dramas, Independent Movies"
A Stoning in Fulham County,Movie,Larry Elikann,United States,1-Oct-11,1988,TV-14,95 min,Dramas
A StoryBots Christmas,Movie,"Evan Spiridellis, Jeff Gill",United States,1-Dec-17,2017,TV-Y,26 min,"Children & Family Movies, Comedies"
A Sun,Movie,Chung Mong-hong,Taiwan,24-Jan-20,2019,TV-MA,156 min,"Dramas, Independent Movies, International Movies"
A Taiwanese Tale of Two Cities,TV Show,,Taiwan,27-Jan-19,2018,TV-MA,1 Season,"International TV Shows, TV Dramas"
A Tale of Love and Darkness,Movie,Natalie Portman,"Israel, United States",25-Oct-19,2015,PG-13,98 min,"Dramas, International Movies"
A Tale of Two Kitchens,Movie,Trisha Ziff,"United States, Mexico",22-May-19,2019,TV-PG,30 min,"Documentaries, International Movies"
A Thin Line Between Love & Hate,Movie,Martin Lawrence,United States,1-Dec-20,1996,R,108 min,"Comedies, Romantic Movies"
A Thousand Goodnights,TV Show,,Taiwan,1-Jun-19,2019,TV-14,1 Season,"International TV Shows, TV Dramas"
A Thousand Words,Movie,Brian Robbins,United States,1-Jul-20,2012,PG-13,92 min,Comedies
A Touch of Green,TV Show,,Taiwan,1-Jul-20,2016,TV-MA,1 Season,"International TV Shows, TV Dramas"
A Trash Truck Christmas,Movie,Eddie Rosas,,11-Dec-20,2020,TV-Y,28 min,Children & Family Movies
A Trip to Jamaica,Movie,Robert O. Peters,Nigeria,13-Dec-19,2016,TV-MA,99 min,"Comedies, International Movies"
A truthful Mother,Movie,Ravishankar Venkateswaran,India,31-Mar-20,2020,TV-Y7,85 min,Children & Family Movies
A Twelve Year Night,Movie,Álvaro Brechner,"Uruguay, Argentina, Spain",28-Dec-18,2018,TV-MA,122 min,"Dramas, International Movies"
A Very Country Christmas,Movie,Justin G. Dyck,"United States, Canada",15-Nov-20,2017,TV-G,84 min,"Music & Musicals, Romantic Movies"
A Very Murray Christmas,Movie,Sofia Coppola,United States,4-Dec-15,2015,TV-14,57 min,"Comedies, Music & Musicals"
A Very Secret Service,TV Show,,France,30-Jul-18,2018,TV-MA,2 Seasons,"International TV Shows, TV Comedies"
A Very Special Love,Movie,Cathy Garcia-Molina,Philippines,12-Nov-20,2008,TV-G,107 min,"International Movies, Romantic Movies"
A Walk to Remember,Movie,Adam Shankman,United States,1-Jul-20,2002,PG,102 min,"Dramas, Romantic Movies"
A Wednesday,Movie,Neeraj Pandey,India,1-Nov-18,2008,TV-MA,103 min,"Action & Adventure, Dramas, International Movies"
A Week in Watts,Movie,Gregory Caruso,United States,19-Feb-18,2017,TV-14,91 min,Documentaries
A Whisker Away,Movie,"Junichi Sato, Tomotaka Shibayama",Japan,18-Jun-20,2020,TV-PG,104 min,"Anime Features, Children & Family Movies, International Movies"
A Witches' Ball,Movie,Justin G. Dyck,Canada,1-Oct-18,2017,PG,91 min,Children & Family Movies
A Wrinkle in Time,Movie,Ava DuVernay,United States,25-Sep-18,2018,PG,110 min,Children & Family Movies
A Year In Space,TV Show,,United States,1-Nov-19,2015,TV-PG,1 Season,"Docuseries, International TV Shows, Science & Nature TV"
A Yellow Bird,Movie,K. Rajagopal,"Singapore, France",1-May-17,2016,TV-MA,111 min,"Dramas, Independent Movies, International Movies"
A Young Doctor's Notebook and Other Stories,TV Show,,United Kingdom,,2013,TV-MA,2 Seasons,"British TV Shows, TV Comedies, TV Dramas"
A.D. Kingdom and Empire,TV Show,,United States,15-Dec-17,2015,TV-14,1 Season,TV Dramas
A.I.C.O.,TV Show,Kazuya Murata,Japan,9-Mar-18,2018,TV-14,1 Season,"Anime Series, International TV Shows"
A.M.I.,Movie,Rusty Nixon,Canada,1-Oct-20,2019,TV-MA,77 min,Horror Movies
A.X.L.,Movie,Oliver Daly,United States,20-Mar-19,2018,PG,99 min,"Action & Adventure, Children & Family Movies, Independent Movies"
Aşk Tesadüfleri Sever,Movie,Ömer Faruk Sorak,Turkey,4-Apr-18,2011,TV-MA,122 min,"Dramas, International Movies, Romantic Movies"
Aadu 2,Movie,Midhun Manuel Thomas,India,15-May-18,2017,TV-MA,150 min,"Comedies, International Movies"
Aagey Se Right,Movie,Indrajit Nattoji,India,1-Nov-18,2009,TV-14,117 min,"Comedies, International Movies, Music & Musicals"
Aajcha Divas Majha,Movie,Chandrakant Kulkarni,India,1-Jan-18,2013,TV-PG,126 min,"Comedies, Dramas, International Movies"
Aakhri Adaalat,Movie,Rajiv Mehra,India,1-Sep-17,1988,TV-14,148 min,"Action & Adventure, International Movies"
Aalorukkam,Movie,V C Abhilash,India,15-Nov-18,2018,TV-PG,122 min,"Dramas, Independent Movies, International Movies"
Aamir,Movie,Raj Kumar Gupta,India,1-Nov-18,2008,TV-14,95 min,"International Movies, Thrillers"
Aapla Manus,Movie,Satish Rajwade,India,10-Sep-20,2018,TV-14,133 min,"Dramas, International Movies, Thrillers"
Aarakshan,Movie,Prakash Jha,India,31-Dec-19,2011,TV-14,164 min,"Dramas, International Movies"
Aashayein,Movie,Nagesh Kukunoor,India,22-Oct-17,2010,TV-14,115 min,"Dramas, International Movies"
Aashik Awara,Movie,Umesh Mehra,India,1-Jun-17,1993,TV-14,154 min,"Dramas, International Movies, Music & Musicals"
Aata Pita,Movie,Uttung Shelar,India,1-Jan-18,2010,TV-14,133 min,"Comedies, Dramas, International Movies"
Aaviri,Movie,Ravi Babu,India,31-Dec-19,2019,TV-14,110 min,"Horror Movies, International Movies, Thrillers"
Abby Hatcher,TV Show,Kyran Kelly,"United States, Canada",1-Jul-20,2019,TV-Y,1 Season,Kids' TV
Abby Sen,Movie,Atanu Ghosh,India,1-May-17,2015,TV-PG,127 min,"Comedies, Dramas, International Movies"
ABCD 2,Movie,Remo D'Souza,India,1-Nov-18,2015,TV-14,146 min,"Dramas, International Movies, Music & Musicals"
ABCD: Any Body Can Dance,Movie,Remo D'Souza,India,1-Nov-18,2013,TV-14,136 min,"Dramas, International Movies"
Abdo Mota,Movie,,Egypt,19-Apr-19,2012,TV-MA,100 min,"Action & Adventure, Dramas, International Movies"
Abducted in Plain Sight,Movie,Skye Borgman,United States,15-Jan-19,2017,TV-14,90 min,Documentaries
"Abdullah, The Final Witness",Movie,Hashim Nadeem Khan,Pakistan,15-Jan-19,2016,TV-14,88 min,"Dramas, International Movies"
Abhinetri,Movie,A. L. Vijay,India,1-May-18,2016,TV-14,131 min,"Comedies, International Movies, Sci-Fi & Fantasy"
Abnormal Summit,TV Show,"Jung-ah Im, Seung-uk Jo",South Korea," August 4, 2017",2017,TV-PG,2 Seasons,"International TV Shows, Korean TV Shows, Stand-Up Comedy & Talk Shows"
Abominable Christmas,Movie,Chad Van De Keere,United States,18-Feb-16,2012,TV-Y7,44 min,"Children & Family Movies, Comedies"
About a Boy,Movie,"Chris Weitz, Paul Weitz","United Kingdom, United States, France, Germany",1-Feb-19,2002,PG-13,101 min,"Comedies, Dramas, International Movies"
About Time,Movie,Richard Curtis,United Kingdom,16-Apr-19,2013,R,123 min,"Comedies, Dramas, International Movies"
Abstract: The Art of Design,TV Show,,United States,25-Sep-19,2019,TV-14,2 Seasons,Docuseries
Absurd Planet,TV Show,,United States,22-Apr-20,2020,TV-PG,1 Season,"Docuseries, Science & Nature TV, TV Comedies"
Abyss,TV Show,,South Korea,7-May-19,2019,TV-14,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows"
Abzurdah,Movie,Daniela Goggi,Argentina,25-Aug-16,2015,TV-MA,90 min,"Dramas, International Movies"
Acapulco La vida va,Movie,Alfonso Serrano Maturino,Mexico,3-Jun-17,2016,TV-MA,89 min,"Comedies, Dramas, International Movies"
Accident,Movie,Cheang Pou Soi,Hong Kong,1-Dec-18,2009,TV-MA,87 min,"International Movies, Thrillers"
Accidentally in Love,TV Show,,China,19-Oct-18,2018,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
Across Grace Alley,Movie,Ralph Macchio,United States,1-Dec-16,2013,TV-PG,24 min,Dramas
Across The Line,Movie,Julien Christian Lutz,Canada,1-Apr-19,2015,TV-MA,88 min,"Dramas, Sports Movies"
Across the Universe,Movie,Julie Taymor,"United States, United Kingdom",1-Jan-19,2007,PG-13,133 min,"Dramas, Music & Musicals, Romantic Movies"
Act of Valor,Movie,"Mike McCoy, Scott Waugh",United States,1-Jun-20,2012,R,110 min,Action & Adventure
Act of Vengeance,Movie,Mahsun Kırmızıgül,"Turkey, United States",29-Sep-18,2010,NR,112 min,"Action & Adventure, International Movies"
Action Replayy,Movie,Vipul Amrutlal Shah,India,11-May-20,2010,TV-PG,129 min,"Children & Family Movies, Comedies, International Movies"
Acts of Vengeance,Movie,Isaac Florentine,"Bulgaria, United States",25-Jan-18,2017,R,87 min,"Action & Adventure, International Movies"
Acts of Violence,Movie,Brett Donowho,Canada,1-Aug-20,2018,R,87 min,Action & Adventure
Ad Vitam,TV Show,,France,1-Nov-19,2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
Adú,Movie,Salvador Calvo,Spain,1-Jul-20,2020,TV-MA,120 min,"Dramas, International Movies"
Adam Devine: Best Time of Our Lives,Movie,Jay Karas,United States,18-Jun-19,2019,TV-MA,59 min,Stand-Up Comedy
Adam Ruins Everything,TV Show,,United States,30-Sep-18,2018,TV-14,1 Season,TV Comedies
ADAM SANDLER 100% FRESH,Movie,Steve Brill,United States,23-Oct-18,2018,TV-MA,74 min,Stand-Up Comedy
Adam: His Song Continues,Movie,Robert Markowitz,United States,1-Oct-11,1986,TV-MA,96 min,Dramas
Addicted to Life,Movie,Thierry Donard,France,12-Jun-20,2014,TV-14,91 min,"Action & Adventure, Documentaries, International Movies"
Adel Karam: Live from Beirut,Movie,,United States,1-Mar-18,2018,TV-MA,59 min,Stand-Up Comedy
Adhugo,Movie,,India,15-Jan-19,2018,TV-14,105 min,"Comedies, International Movies, Thrillers"
Aditi Mittal: Things They Wouldn't Let Me Say,Movie,Fazila Allana,India,18-Jul-17,2017,TV-MA,63 min,Stand-Up Comedy
Adore,Movie,Anne Fontaine,"Australia, France",20-Nov-19,2013,R,111 min,"Dramas, Independent Movies, International Movies"
Adrift,Movie,Baltasar Kormákur,"Hong Kong, Iceland, United States",1-Sep-20,2018,PG-13,96 min,"Action & Adventure, Dramas, Romantic Movies"
Adrishya,Movie,Sandeep Chatterjee,India,31-Dec-19,2017,TV-14,99 min,"Horror Movies, Independent Movies, International Movies"
Advantageous,Movie,Jennifer Phang,United States,23-Jun-15,2015,TV-MA,92 min,"Dramas, Independent Movies, Sci-Fi & Fantasy"
Adventures in Public School,Movie,Kyle Rideout,"Canada, United States",15-Aug-18,2018,NR,86 min,Comedies
Aerials,Movie,S.A. Zaidi,United Arab Emirates,7-May-20,2016,TV-14,90 min,"International Movies, Sci-Fi & Fantasy"
Afflicted,TV Show,,United States,10-Aug-18,2018,TV-MA,1 Season,"Docuseries, Reality TV, Science & Nature TV"
Afonso Padilha: Classless,Movie,"Junior Carelli, Rudge Campos",Brazil,3-Sep-20,2020,TV-MA,63 min,Stand-Up Comedy
Africa,TV Show,,United Kingdom,28-Apr-16,2013,TV-PG,1 Season,"British TV Shows, Docuseries, International TV Shows"
Afronta! Facing It!,TV Show,Juliana Vicente,Brazil,31-Oct-20,2017,TV-PG,1 Season,"Docuseries, International TV Shows"
After,Movie,Jenny Gage,United States,9-Oct-19,2019,PG-13,106 min,"Dramas, Romantic Movies"
After Life,TV Show,,United Kingdom,24-Apr-20,2020,TV-MA,2 Seasons,"British TV Shows, International TV Shows, TV Comedies"
After Maria,Movie,Nadia Hallgren,United States,24-May-19,2019,TV-PG,38 min,Documentaries
After Porn Ends,Movie,Bryce Wagoner,United States,27-May-19,2012,NR,93 min,Documentaries
After Porn Ends 3,Movie,Brittany Andrews,United States,30-Dec-18,2018,TV-MA,87 min,Documentaries
After the Raid,Movie,Rodrigo Reyes,"United States, Mexico",19-Dec-19,2019,TV-PG,25 min,"Documentaries, International Movies"
After We Collided,Movie,Roger Kumble,United States,22-Dec-20,2020,R,105 min,"Dramas, Romantic Movies"
Aftermath,Movie,Elliott Lester,"United Kingdom, United States",15-Mar-20,2017,R,94 min,Dramas
Afterschool,Movie,Antonio Campos,United States,13-Aug-20,2008,TV-MA,107 min,"Dramas, Independent Movies"
Aftershock,Movie,Nicolás López,"United States, Chile",7-Mar-18,2012,R,89 min,"Action & Adventure, Horror Movies"
Against the Tide,TV Show,,Singapore,1-Jul-17,2014,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
Agatha and the Truth of Murder,Movie,Terry Loane,United Kingdom,31-Jan-19,2018,TV-MA,92 min,Dramas
Age Gap Love,TV Show,,United Kingdom,12-Jul-19,2017,TV-MA,1 Season,"British TV Shows, Reality TV, Romantic TV Shows"
Age of Glory,TV Show,,,14-Aug-17,2010,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, TV Dramas"
Age of Rebellion,TV Show,Peter Ho,Taiwan,1-Sep-18,2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
Age of Tanks,TV Show,,"Germany, France, Russia",10-Nov-18,2017,TV-PG,1 Season,"Docuseries, International TV Shows, Science & Nature TV"
Agent,TV Show,,"Mauritius, South Africa",20-Dec-19,2019,TV-MA,1 Season,"International TV Shows, TV Dramas"
Agent Raghav,TV Show,,India,15-Apr-17,2015,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure"
Aggretsuko,TV Show,,Japan,27-Aug-20,2020,TV-14,3 Seasons,"Anime Series, International TV Shows"
Aggretsuko: We Wish You a Metal Christmas,Movie,Rarecho,Japan,20-Dec-18,2018,TV-PG,22 min,Movies
Agneepath,Movie,Mukul Anand,India,1-Apr-20,1990,TV-14,174 min,"Dramas, International Movies"
Agustín Aristarán: Soy Rada,Movie,Mariano Baez,Argentina,16-Feb-18,2018,TV-MA,60 min,Stand-Up Comedy
Agyaat,Movie,Ram Gopal Varma,India,1-Oct-18,2009,TV-14,97 min,"Horror Movies, International Movies"
Ahista Ahista,Movie,Shivam Nair,India,31-Dec-19,2006,TV-14,122 min,"Dramas, International Movies, Romantic Movies"
Ai Weiwei: Never Sorry,Movie,Alison Klayman,United States,1-Mar-18,2012,R,91 min,Documentaries
Ainori Love Wagon: African Journey,TV Show,,Japan,30-Jan-20,2019,TV-14,1 Season,"International TV Shows, Reality TV, Romantic TV Shows"
Ainori Love Wagon: Asian Journey,TV Show,,Japan,28-Mar-19,2018,TV-MA,2 Seasons,"International TV Shows, Reality TV, Romantic TV Shows"
Ainsley Eats the Streets,TV Show,,United Kingdom,12-Jul-19,2014,TV-PG,1 Season,"British TV Shows, Docuseries, International TV Shows"
Ainu Mosir,Movie,Takeshi Fukunaga,"United States, Japan",17-Nov-20,2020,TV-PG,84 min,"Dramas, International Movies"
Airplane Mode,Movie,César Rodrigues,United States,23-Jan-20,2020,TV-PG,97 min,"Comedies, International Movies, Romantic Movies"
Aisa Yeh Jahaan,Movie,Biswajeet Bora,India,15-Oct-17,2015,TV-14,127 min,"Dramas, Independent Movies, International Movies"
Aitraaz,Movie,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla",India,1-Mar-18,2004,TV-14,153 min,"International Movies, Music & Musicals, Romantic Movies"
Aiyaary,Movie,Neeraj Pandey,India,15-May-18,2018,TV-MA,158 min,"Action & Adventure, Dramas, International Movies"
Aiyyaa,Movie,Sachin Kundalkar,India,5-Jul-20,2012,TV-14,151 min,"Comedies, International Movies, Music & Musicals"
AJ and the Queen,TV Show,,United States,10-Jan-20,2020,TV-14,1 Season,"TV Comedies, TV Dramas"
Ajab Prem Ki Ghazab Kahani,Movie,Rajkumar Santoshi,India,25-Oct-20,2009,TV-14,150 min,"Comedies, International Movies, Music & Musicals"
Ajaibnya Cinta,TV Show,,,13-Oct-17,2015,TV-PG,1 Season,"International TV Shows, TV Dramas"
AJIN: Demi-Human,TV Show,,Japan,27-Dec-16,2016,TV-MA,2 Seasons,"Anime Series, International TV Shows"
Ajji,Movie,Devashish Makhija,India,1-May-18,2017,TV-MA,105 min,"Dramas, International Movies"
AK vs AK,Movie,Vikramaditya Motwane,India,25-Dec-20,2020,TV-MA,109 min,"Comedies, Dramas, International Movies"
Akame ga Kill!,TV Show,,Japan,1-Mar-20,2014,TV-14,1 Season,"Anime Series, Crime TV Shows, International TV Shows"
Akbar Birbal,TV Show,,India,31-Mar-20,2019,TV-G,1 Season,"Kids' TV, TV Comedies, TV Dramas"
Akulah Balqis,TV Show,Pali Yahya,,3-Nov-17,2015,TV-14,1 Season,"International TV Shows, TV Dramas"
Al acecho,Movie,Francisco D'Eufemia,,12-Jan-21,2019,TV-MA,81 min,"International Movies, Thrillers"
Al Hayba,TV Show,,Lebanon,15-Sep-18,2017,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
Ala Vaikunthapurramuloo,Movie,Trivikram Srinivas,India,27-Feb-20,2020,TV-14,162 min,"Action & Adventure, Comedies, Dramas"
Alakada Reloaded,Movie,Toyin Abraham,,6-Mar-20,2017,TV-MA,104 min,"Comedies, International Movies"
Alan Saldaña: Mi vida de pobre,Movie,"Raúl Campos, Jan Suter",Mexico,4-Aug-17,2017,TV-MA,54 min,Stand-Up Comedy
Alarmoty in the Land of Fire,Movie,,Egypt,5-Aug-19,2017,TV-MA,94 min,"Comedies, International Movies"
Alaska Is a Drag,Movie,Shaz Bennett,United States,31-Dec-20,2017,TV-MA,83 min,"Dramas, LGBTQ Movies"
Albert Pinto Ko Gussa Kyun Aata Hai?,Movie,Soumitra Ranade,India,31-Dec-19,2019,TV-MA,85 min,"Dramas, Independent Movies, International Movies"
Albion: The Enchanted Stallion,Movie,Castille Landon,"United States, Bulgaria",1-Jul-17,2016,TV-PG,106 min,Children & Family Movies
Alejandro Riaño: Especial de stand up,Movie,,Colombia,10-Jan-18,2018,TV-MA,60 min,Stand-Up Comedy
Alejandro Sanz: What I Was Is What I Am,Movie,"Gervasio Iglesias, Alexis Morante",Spain,18-Aug-18,2018,TV-MA,102 min,"Documentaries, International Movies, Music & Musicals"
Alelí,Movie,Leticia Jorge Romero,"Uruguay, Argentina",16-Apr-20,2019,TV-MA,88 min,"Comedies, Dramas, International Movies"
Alex Fernández: The Best Comedian in the World,Movie,Alex Díaz,Mexico,23-Jan-20,2020,TV-MA,51 min,Stand-Up Comedy
Alex Strangelove,Movie,Craig Johnson,United States,8-Jun-18,2018,TV-MA,100 min,"Comedies, Dramas, Independent Movies"
Alexa & Katie,TV Show,,United States,13-Jun-20,2020,TV-G,4 Seasons,"Kids' TV, TV Comedies"
Alexandria ... Why?,Movie,Youssef Chahine,"Egypt, Algeria",18-Jun-20,1979,TV-MA,131 min,"Classic Movies, Dramas, International Movies"
Alexandria: Again and Forever,Movie,Youssef Chahine,"France, Egypt",18-Jun-20,1989,TV-MA,109 min,"Classic Movies, Dramas, International Movies"
Alexis Viera: A Story of Surviving,Movie,Luis Ara,Uruguay,20-Mar-19,2019,TV-MA,69 min,"Documentaries, International Movies, Sports Movies"
Ali & Alia,Movie,Hussein El Ansary,United Arab Emirates,12-May-20,2019,TV-14,106 min,"Dramas, International Movies, Romantic Movies"
Ali Baba ve 7 Cüceler,Movie,Cem Yılmaz,Turkey,1-Jul-20,2015,TV-MA,115 min,"Action & Adventure, Comedies, International Movies"
Ali Wong: Baby Cobra,Movie,Jay Karas,United States,6-May-16,2016,TV-MA,60 min,Stand-Up Comedy
Ali Wong: Hard Knock Wife,Movie,Jay Karas,United States,13-May-18,2018,TV-MA,64 min,Stand-Up Comedy
Ali's Wedding,Movie,Jeffrey Walker,Australia,8-Jun-18,2018,TV-MA,110 min,"Comedies, Independent Movies, International Movies"
Alias Grace,TV Show,,Canada,3-Nov-17,2017,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
"Alias JJ, la celebridad del mal",Movie,,,1-Sep-17,2017,TV-MA,54 min,"Documentaries, International Movies"
Alibaba Aur 40 Chor,Movie,"Latif Faiziyev, Umesh Mehra","Soviet Union, India",15-Jan-18,1980,TV-14,147 min,"Action & Adventure, International Movies, Sci-Fi & Fantasy"
Alice Doesn't Live Here Anymore,Movie,Martin Scorsese,United States,1-Jul-19,1974,PG,112 min,"Classic Movies, Comedies, Dramas"
Alice in Borderland,TV Show,,Japan,10-Dec-20,2020,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Mysteries"
Alice Junior,Movie,Gil Baroni,Brazil,23-Oct-20,2019,TV-MA,87 min,"Comedies, International Movies, LGBTQ Movies"
